risk_id,risk_title,description,wbs_id,likelihood,consequence,risk_score,mitigation,owner,status
R-001,PPE-HALO Combined Stack Mass Exceedance,"PPE and HALO combined launch mass risks exceeding Falcon Heavy Block 5 Expendable maximum payload capacity to C3 required for NRHO insertion. GAO-24-106878 (July 2024) identified this as primary program risk with near-zero or negative margin.",1.2.3,4,5,20,"NASA-led mass reduction tiger team (T-009); design-to-mass working group with Maxar and Northrop Grumman; evaluation of hardware deferral to a second launch; Falcon Heavy expendable configuration trade study; target 250 kg reduction from HALO",NASA JSC Systems Engineering,Open - Active Mitigation
R-002,PPE Controllability Inadequacy with Docked Starship HLS,"PPE attitude control authority insufficient when Starship HLS (estimated ~280 mT wet) is docked at Gateway. GAO-24-106878 noted HLS mass is 18x greater than PPE design value for controllability. Risk of loss of attitude or structural overload during combined operations.",1.3.4,3,5,15,"PPE thruster augmentation trade study (T-019); operational constraint limiting HLS docking to specific Gateway configurations; updated PPE requirements with revised HLS mass values; Gateway-HLS ICD revision (T-015)",Maxar Technologies / NASA JSC,Open - Under Analysis
R-003,HALO Firm-Fixed-Price Contract Further Cost Overrun,"Northrop Grumman has already recognized ~$100M in charges against HALO FFP contract (2023). Additional scope growth, design changes, or rework could cause further contractor losses and program impact including potential requests for equitable adjustment.",1.4,4,4,16,"Monthly contractor financial health reviews; EVM cost-at-completion (CAC) analysis; NRE cost containment; bilateral modification authority if scope growth is government-caused; NASA oversight via resident COTR team at NGIS",NASA JSC Contracts,Open - Monitoring
R-004,Falcon Heavy Launch Window Constraint or Manifest Slip,"NRHO launch windows are constrained by lunar geometry, limiting makeup opportunities. SpaceX Falcon Heavy growing commercial manifest demand can push gateway launch to a later window. Any slip beyond 5 months post-committed date forces Artemis IV reschedule.",1.10.1,3,4,12,"Contractual launch date protections in FH contract; identified backup windows in Q3 2027 and Q1 2028; SpaceX mission management coordination for manifest priority; coordination between T-131 (LRR) and T-132 (launch)",SpaceX / NASA Launch Services,Open
R-005,PPE AEPS Thruster Anomaly During Transit or Demo,"Solar Electric Propulsion transit takes ~7 months. Partial thruster failure during transit reduces thrust availability and could prevent NRHO insertion or significantly extend transit duration, delaying Artemis IV.",1.3.3,2,5,10,"Cross-strapped AEPS thruster string redundancy; minimum mission analysis (3 of 4 engines required); ground rule for thruster health monitoring during T-134; fault management algorithms for graceful degradation per T-036",Maxar Technologies,Open
R-006,I-HAB Schedule Slip Affecting Artemis IV Co-Manifest,"I-HAB co-manifested on SLS Block 1B Artemis IV. Any slip in I-HAB CDR (T-078), manufacturing (T-079), or KSC integration (T-086) could force Artemis IV delay or launch without I-HAB, removing initial habitation expansion.",1.5,3,4,12,"Formal schedule interface management between NASA and ESA via IMS integration; monthly T-078 and T-079 milestone reviews; pre-negotiated contingency plan for I-HAB backup launch on commercial vehicle; SLS Block 1B readiness monitoring",ESA / NASA JSC,Open
R-007,DSN Capacity Contention During Crewed Operations,"Deep Space Network antenna time is shared across all deep space missions. During peak periods Gateway may not receive adequate contact time for crewed operations or emergency communications, creating safety risk.",1.11.2,3,4,12,"DSN scheduling priority protocols for crewed missions per T-142; commercial relay asset trade study; ESA tracking station supplementary coverage; ESPRIT Lunar Link (1.6.1) to augment downlink capacity once installed",NASA JPL / JSC,Open
R-008,Xenon Propellant Supply Chain Constraint,"Global xenon supply is limited; industrial gas producers have constrained production capacity. Increased demand from commercial satellite Hall-effect thruster programs could reduce availability and increase price for PPE fueling operations.",1.3.3,2,4,8,"Long-lead xenon procurement initiated by Maxar; supply contract with Air Products and Chemicals; strategic inventory strategy; assessment of krypton as alternative propellant for SEP; coordination with international partners on shared supply",Maxar Technologies,Open
R-009,HALO ECLSS Performance Shortfall Requiring Rework,"HALO ECLSS (T-052, T-053) may not meet atmospheric revitalization or water recovery specifications under all NRHO operational scenarios. Heritage is limited vs. ISS systems; qualification testing has identified margin concerns.",1.4.2,3,3,9,"Additional ECLSS prototype testing at JSC ECLSS Lab; heritage ISS CDRA components used where feasible; operational constraints for initial crewed missions; planned ECLSS block upgrades in I-HAB (1.5.2); design review at T-070",Northrop Grumman,Open
R-010,International Partner Budget Instability,"ESA, JAXA, or CSA member states may reduce contributions due to national budget pressures. This could delay or descope I-HAB (1.5), ESPRIT (1.6), or Canadarm3 (1.8), each of which is on a non-NASA funding line.",1.1.4,3,4,12,"Formal Implementing Arrangements create legal commitment to program continuity; diplomatic engagement at agency-head level; modular Gateway design allows operation with reduced initial configuration; IGA leverage per T-154",NASA HQ / State Dept,Open
R-011,Canadarm3 AI Autonomy Software Maturity Below Required TRL,"Canadarm3 AI software (T-110) requires TRL 6 at CDR and TRL 8 for crewed operations. Autonomous inspection and servicing may not reach sufficient maturity, requiring more ground-in-the-loop operations and limiting Gateway maintenance capability.",1.8.5,3,3,9,"Phased autonomy deployment plan: initial operations ground-controlled; AI autonomy demonstrated incrementally via T-113; ISS Dextre arm as heritage and analog testbed; software TRL gates enforced in CSA acquisition",MDA Space / CSA,Open
R-012,UAE Airlock Development Schedule Slip or Descope,"MBRSC is a first-time human spaceflight hardware provider. Technical maturity, workforce, and facility challenges could cause delay or descope. If airlock is late, EVA from Gateway is unavailable until Artemis VI or later.",1.7,3,4,12,"NASA technical mentor arrangement with MBRSC and TAS; increased oversight and T-098 milestone review; TAS as experienced prime manages technical risk; contingency plan for limited EVA from modified Orion docking port",MBRSC / NASA JSC,Open
R-013,SLS Block 1B Unavailability for Artemis IV I-HAB Launch,"SLS Block 1B with Exploration Upper Stage (EUS) needed to co-manifest I-HAB on Artemis IV. EUS development carries schedule risk. Non-delivery of Block 1B capability by Artemis IV forces Gateway assembly sequence reconfiguration.",1.10.2,2,5,10,"NASA program integration between SLS and Gateway programs; Artemis IV NET date preserves schedule margin; contingency assessment for I-HAB on dedicated commercial vehicle (T-085 allows flexibility in delivery mode)",NASA MSFC / Boeing,Open
R-014,Micrometeoroid and Orbital Debris Impact During Uncrewed Dwell,"Gateway spends 200+ days per year uncrewed in NRHO with minimal active debris avoidance. Impact to solar arrays (1.3.2), habitation viewports (1.5.6), or communication antennas (1.3.5) during uncrewed period could end the mission.",1.3,2,5,10,"Shielding designed per NASA MMOD protection standards; redundant critical systems; autonomous fault management (T-036); ground monitoring for conjunction assessment from GSFC FDF (T-143); orbital selection with low debris population",NASA JSC Safety,Open
R-015,Crew Radiation Exposure Exceeding Career Dose Limits,"Cis-lunar radiation significantly exceeds ISS due to absence of Earth magnetosphere. Extended crewed stays risk exceeding NASA career dose limits per NASA-STD-3001, constraining crew tenure and mission frequency.",1.4.9,3,4,12,"Water-filled radiation storm shelter in HALO (1.4.9); supplemental shielding in I-HAB (1.5.8); mission design limits crew stay during solar maximum; personal dosimetry monitoring; crew health research per T-156",NASA JSC Human Research Program,Open
R-016,Xenon On-Orbit Transfer Technology Readiness Gap,"ESPRIT Lunar View xenon transfer (T-162) to PPE requires on-orbit fluid transfer not validated at operational scale in cis-lunar environment. Technology is TRL 4-5 at ESPRIT CDR.",1.6.3,3,3,9,"ESPRIT refueling system TRL advancement plan; subscale propellant transfer demos; design reviews with satellite servicing program heritage; operational contingency for PPE refueling mission deferral if demo fails at T-162",ESA / Thales Alenia Space,Open
R-017,Gateway Power Budget Shortfall During Peak Multi-Docked Configuration,"With Orion, HLS, and fully outfitted modules, total power demand may exceed PPE 60 kW generation during power-degraded scenarios including solar array MMOD damage or seasonal sun angle reduction.",1.3.2,2,4,8,"Power budget maintained with 25% margin at PPE CDR; load shedding procedures for contingency; phased module activation protocol; power budget monitoring per T-016; T-019 analysis includes power interface with HLS",Maxar Technologies / NASA JSC,Open
R-018,Communication Blackout Periods in NRHO Affecting Crew Safety,"NRHO geometry causes periodic blackouts up to 8 hours during perilune passages. Emergency communications blackout creates crew safety risk. Autonomous fault management must cover all contingency scenarios during blackouts.",1.12.3,4,3,12,"Autonomous fault management per T-036 for all blackout-period scenarios; crew operational planning constraints per T-149 flight rules; ESPRIT Lunar Link (1.6.1) improves coverage after 2027; relay satellite long-term solution under study",NASA JSC MOD,Open
R-019,Residual Supply Chain Disruption Affecting Long-Lead Electronics,"Residual COVID-era and geopolitical supply chain effects continue to impact radiation-hardened microelectronics, specialty materials, and skilled workforce. Long-lead electronics for PPE and HALO avionics face procurement delays.",1.9,2,3,6,"Expanded vendor qualification lists; strategic parts procurement and stockpiling via NASA Parts and Packaging Program (NP3); parts obsolescence management program; early long-lead procurement initiated at PPE CDR (T-029)",Northrop Grumman / Maxar,Monitoring
R-020,Environmental Test Anomaly Requiring Hardware Rework,"Unexpected failures during acoustic (T-121) or thermal vacuum testing (T-122) could require hardware replacement or redesign. Limited schedule margin accommodates only ~2 month recovery before impacting launch date.",1.9.2,2,4,8,"Test readiness reviews at T-119 and T-121; pre-test analysis and predictions; test schedule margin per NPR 7120.5; failure investigation tiger team process; spare/backup hardware strategy for long-lead items identified at T-044",NASA JSC / NGIS,Open
R-021,Lunar Gateway Program Cancellation or Major Restructuring,"U.S. administration changes or Congressional appropriations shortfalls could restructure or cancel Gateway. Program has experienced multiple rescoping events since 2017. International commitments provide continuity pressure.",1.1,3,5,15,"International partner Implementing Arrangements create diplomatic commitments; broad congressional constituency; bipartisan Artemis support; modular architecture limits sunk cost risk; One Big Beautiful Bill Act allocated $2.6B through FY2032",NASA HQ,Open - Strategic Risk
R-022,Crew Rescue Capability Gap During Crewed Visit,"If a contingency requires rapid crew departure, Orion docked at Gateway has limited autonomous return duration. Life support in crewed-off HALO mode must sustain crew awaiting rescue if Orion capability is degraded.",1.4.2,2,5,10,"Minimum Gateway safe haven design requirements per NASA-STD-3001; Orion extended duration provisions; crew emergency procedures per T-153; HALO ECLSS designed for 30-day unassisted operation; flight rules for emergency egress",NASA JSC,Open
